id,title,release_date,origin_country,original_language,runtime,vote_average,vote_count,popularity,genre_ids,production_company_ids
195139,Driving with Greenland Dogs,1897-01-01,['DK'],da,1,5.3,15,0.0725,[99],[41774]
232636,The Swans in Sortedamssøen,1897-12-25,['DK'],da,1,3.0,2,0.0671,[99],[41774]
195364,Bech Olsens og Poul Pons' brydekamp,1899-05-20,['DK'],da,1,4.0,5,0.0261,[99],[41774]
232637,Bathing Scenes from Skovshoved,1899-09-02,['DK'],da,1,4.5,4,0.0071,[99],[41774]
195305,De Kongelige skal fotograferes,1899-11-25,['DK'],da,1,4.8,4,0.0363,[99],[]
231776,Empress Dagmar's Arrival in Elsinore,1900-06-04,['DK'],da,1,4.3,3,0.0423,[99],[41774]
232643,Bathing Ladies at the Waterpark,1901-11-12,['DK'],da,1,5.0,2,0.0281,[99],[]
232642,Tietgen's Funeral,1901-11-12,['DK'],da,1,5.0,2,0.0311,[99],[41774]
1188759,The Children's Dance from 'Elverhøj',1902-02-02,['DK'],da,1,0.0,0,0.0286,[99],[41774]
231777,Kejserinde Dagmars Ankomst til Bellevue,1902-03-07,['DK'],da,1,4.0,1,0.0484,[99],[41774]
195699,The Emperor of Russia's Arrival in Elsinore,1902-06-04,['DK'],da,1,4.6,5,0.873,[99],[41774]
195549,Women bathing at Skovshoved Beach,1902-06-04,['DK'],da,1,4.0,1,0.0214,[99],[41774]
232645,Kongerevue paa Fælleden,1902-06-15,['DK'],da,1,3.5,2,0.0143,[99],[41774]
190665,Pas de Deux,1902-09-22,['DK'],da,1,5.8,4,2.8132,[99],[41774]
232591,Queen Alexandra's Arrival to Toldboden,1902-10-17,['DK'],da,1,3.5,2,0.0286,[99],[41774]
232646,Sct. Clemensbro i Aarhus,1902-11-03,['DK'],da,1,5.0,2,0.0418,[99],[41774]
340494,Kaiser Wilhelm arrival to Copenhagen 2.4,1903-05-15,['DK'],da,2,4.0,3,0.0673,[99],[]
195965,The Tarantella from 'Napoli',1903-05-20,['DK'],da,2,6.3,10,0.0495,[99],[41774]
195981,The Execution,1903-05-22,['DK'],da,2,4.1,9,0.0571,"[80, 18]",[41774]
231926,Royal Shooting Party on Hveen,1903-09-12,['DK'],da,1,4.0,2,0.0621,[99],[41774]
231928,La Sylphide,1903-10-31,['DK'],da,1,4.0,3,0.0805,[99],[41774]
231922,The Royals on Bicycles in Fredensborg Castle,1903-10-31,['DK'],da,1,4.0,2,0.0261,[99],[41774]
232648,Artillery at Jægerspris,1903-11-03,['DK'],da,1,4.0,2,0.0352,[99],[41774]
232046,Empress Dagmar Arrives By Train,1904-11-01,['DK'],da,1,4.0,2,0.0482,[99],[41774]
232651,Ribe Cathedral Inauguration,1904-11-03,['DK'],da,1,5.0,1,0.0362,[99],[]
232650,Daniel Dalsgaards Kaffeforretning,1904-11-03,['DK'],da,1,5.5,2,0.0377,[99],[]
1264488,Rundtur gennem København,1905-01-01,['DK'],da,6,0.0,0,0.09,[99],[]
